,name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
0,amc ambassador brougham,13,8,360,175,3821,11,73,usa
1,amc ambassador dpl,15,8,390,190,3850,8.5,70,usa
2,amc ambassador sst,17,8,304,150,3672,11.5,72,usa
3,amc concord,19.4,6,232,90,3210,17.2,78,usa
4,amc concord,24.3,4,151,90,3003,20.1,80,usa
5,amc concord d/l,18.1,6,258,120,3410,15.1,78,usa
7,amc concord dl 6,20.2,6,232,90,3265,18.2,79,usa
8,amc gremlin,21,6,199,90,2648,15,70,usa
9,amc gremlin,19,6,232,100,2634,13,71,usa
10,amc gremlin,18,6,232,100,2789,15,73,usa
11,amc gremlin,20,6,232,100,2914,16,75,usa
12,amc hornet,18,6,199,97,2774,15.5,70,usa
13,amc hornet,18,6,232,100,2945,16,73,usa
14,amc hornet,19,6,232,100,2901,16,74,usa
15,amc hornet,22.5,6,232,90,3085,17.6,76,usa
16,amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,usa
17,amc matador,18,6,232,100,3288,15.5,71,usa
18,amc matador,14,8,304,150,3672,11.5,73,usa
19,amc matador,16,6,258,110,3632,18,74,usa
20,amc matador,15,6,258,110,3730,19,75,usa
21,amc matador,15.5,8,304,120,3962,13.9,76,usa
22,amc matador (sw),15,8,304,150,3892,12.5,72,usa
23,amc matador (sw),14,8,304,150,4257,15.5,74,usa
24,amc pacer,19,6,232,90,3211,17,75,usa
25,amc pacer d/l,17.5,6,258,95,3193,17.8,76,usa
26,amc rebel sst,16,8,304,150,3433,12,70,usa
27,amc spirit dl,27.4,4,121,80,2670,15,79,usa
28,audi 100 ls,24,4,107,90,2430,14.5,70,europe
29,audi 100ls,20,4,114,91,2582,14,73,europe
30,audi 100ls,23,4,115,95,2694,15,75,europe
31,audi 4000,34.3,4,97,78,2188,15.8,80,europe
32,audi 5000,20.3,5,131,103,2830,15.9,78,europe
33,audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,europe
34,audi fox,29,4,98,83,2219,16.5,74,europe
35,bmw 2002,26,4,121,113,2234,12.5,70,europe
36,bmw 320i,21.5,4,121,110,2600,12.8,77,europe
37,buick century,17,6,231,110,3907,21,75,usa
38,buick century,22.4,6,231,110,3415,15.8,81,usa
39,buick century 350,13,8,350,175,4100,13,73,usa
40,buick century limited,25,6,181,110,2945,16.4,82,usa
41,buick century luxus (sw),13,8,350,150,4699,14.5,74,usa
42,buick century special,20.6,6,231,105,3380,15.8,78,usa
43,buick electra 225 custom,12,8,455,225,4951,11,73,usa
44,buick estate wagon (sw),14,8,455,225,3086,10,70,usa
45,buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,usa
46,buick lesabre custom,13,8,350,155,4502,13.5,72,usa
47,buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,usa
48,buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,usa
49,buick skyhawk,21,6,231,110,3039,15,75,usa
50,buick skylark,20.5,6,231,105,3425,16.9,77,usa
51,buick skylark,26.6,4,151,84,2635,16.4,81,usa
52,buick skylark 320,15,8,350,165,3693,11.5,70,usa
53,buick skylark limited,28.4,4,151,90,2670,16,79,usa
54,cadillac eldorado,23,8,350,125,3900,17.4,79,usa
55,cadillac seville,16.5,8,350,180,4380,12.1,76,usa
56,capri ii,25,4,140,92,2572,14.9,76,usa
57,chevroelt chevelle malibu,16,6,250,105,3897,18.5,75,usa
58,chevrolet bel air,15,8,350,145,4440,14,75,usa
59,chevrolet camaro,27,4,151,90,2950,17.3,82,usa
60,chevrolet caprice classic,13,8,400,150,4464,12,73,usa
61,chevrolet caprice classic,17.5,8,305,145,3880,12.5,77,usa
62,chevrolet caprice classic,17,8,305,130,3840,15.4,79,usa
63,chevrolet cavalier,28,4,112,88,2605,19.6,82,usa
64,chevrolet cavalier 2-door,34,4,112,88,2395,18,82,usa
65,chevrolet cavalier wagon,27,4,112,88,2640,18.6,82,usa
66,chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,usa
67,chevrolet chevelle malibu,18,8,307,130,3504,12,70,usa
68,chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,usa
69,chevrolet chevelle malibu classic,16,6,250,100,3781,17,74,usa
70,chevrolet chevelle malibu classic,17.5,8,305,140,4215,13,76,usa
71,chevrolet chevette,29,4,85,52,2035,22.2,76,usa
72,chevrolet chevette,30.5,4,98,63,2051,17,77,usa
73,chevrolet chevette,30,4,98,68,2155,16.5,78,usa
74,chevrolet chevette,32.1,4,98,70,2120,15.5,80,usa
75,chevrolet citation,28.8,6,173,115,2595,11.3,79,usa
76,chevrolet citation,28,4,151,90,2678,16.5,80,usa
77,chevrolet citation,23.5,6,173,110,2725,12.6,81,usa
78,chevrolet concours,17.5,6,250,110,3520,16.4,77,usa
79,chevrolet impala,14,8,454,220,4354,9,70,usa
80,chevrolet impala,14,8,350,165,4209,12,71,usa
81,chevrolet impala,13,8,350,165,4274,12,72,usa
82,chevrolet impala,11,8,400,150,4997,14,73,usa
83,chevrolet malibu,13,8,350,145,3988,13,73,usa
84,chevrolet malibu,20.5,6,200,95,3155,18.2,78,usa
85,chevrolet malibu classic (sw),19.2,8,267,125,3605,15,79,usa
86,chevrolet monte carlo,15,8,400,150,3761,9.5,70,usa
87,chevrolet monte carlo landau,15.5,8,350,170,4165,11.4,77,usa
88,chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,78,usa
89,chevrolet monte carlo s,15,8,350,145,4082,13,73,usa
90,chevrolet monza 2+2,20,8,262,110,3221,13.5,75,usa
91,chevrolet nova,15,6,250,100,3336,17,74,usa
92,chevrolet nova,18,6,250,105,3459,16,75,usa
93,chevrolet nova,22,6,250,105,3353,14.5,76,usa
94,chevrolet nova custom,16,6,250,100,3278,18,73,usa
95,chevrolet vega,20,4,140,90,2408,19.5,72,usa
96,chevrolet vega,21,4,140,72,2401,19.5,73,usa
97,chevrolet vega,25,4,140,75,2542,17,74,usa
98,chevrolet vega (sw),22,4,140,72,2408,19,71,usa
99,chevrolet vega 2300,28,4,140,90,2264,15.5,71,usa
100,chevrolet woody,24.5,4,98,60,2164,22.1,76,usa
101,chevy c10,13,8,350,145,4055,12,76,usa
102,chevy c20,10,8,307,200,4376,15,70,usa
103,chevy s-10,31,4,119,82,2720,19.4,82,usa
104,chrysler cordoba,15.5,8,400,190,4325,12.2,77,usa
105,chrysler lebaron medallion,26,4,156,92,2585,14.5,82,usa
106,chrysler lebaron salon,17.6,6,225,85,3465,16.6,81,usa
107,chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,79,usa
108,chrysler new yorker brougham,13,8,440,215,4735,11,73,usa
109,chrysler newport royal,13,8,400,190,4422,12.5,72,usa
110,datsun 1200,35,4,72,69,1613,18,71,japan
111,datsun 200-sx,23.9,4,119,97,2405,14.9,78,japan
112,datsun 200sx,32.9,4,119,100,2615,14.8,81,japan
113,datsun 210,31.8,4,85,65,2020,19.2,79,japan
114,datsun 210,40.8,4,85,65,2110,19.2,80,japan
115,datsun 210 mpg,37,4,85,65,1975,19.4,81,japan
116,datsun 280-zx,32.7,6,168,132,2910,11.4,80,japan
117,datsun 310,37.2,4,86,65,2019,16.4,80,japan
118,datsun 310 gx,38,4,91,67,1995,16.2,82,japan
119,datsun 510,27.2,4,119,97,2300,14.7,78,japan
120,datsun 510 (sw),28,4,97,92,2288,17,72,japan
121,datsun 510 hatchback,37,4,119,92,2434,15,80,japan
122,datsun 610,22,4,108,94,2379,16.5,73,japan
123,datsun 710,32,4,83,61,2003,19,74,japan
124,datsun 710,24,4,119,97,2545,17,75,japan
125,datsun 810,22,6,146,97,2815,14.5,77,japan
126,datsun 810 maxima,24.2,6,146,120,2930,13.8,81,japan
127,datsun b-210,32,4,85,70,1990,17,76,japan
128,datsun b210,31,4,79,67,1950,19,74,japan
129,datsun b210 gx,39.4,4,85,70,2070,18.6,78,japan
130,datsun f-10 hatchback,33.5,4,85,70,1945,16.8,77,japan
131,datsun pl510,27,4,97,88,2130,14.5,70,japan
132,datsun pl510,27,4,97,88,2130,14.5,71,japan
133,dodge aries se,29,4,135,84,2525,16,82,usa
134,dodge aries wagon (sw),25.8,4,156,92,2620,14.4,81,usa
135,dodge aspen,18.6,6,225,110,3620,18.7,78,usa
136,dodge aspen,19.1,6,225,90,3381,18.7,80,usa
137,dodge aspen 6,20.6,6,225,110,3360,16.6,79,usa
138,dodge aspen se,20,6,225,100,3651,17.7,76,usa
139,dodge challenger se,15,8,383,170,3563,10,70,usa
140,dodge charger 2.2,36,4,135,84,2370,13,82,usa
141,dodge colt,28,4,90,75,2125,14.5,74,usa
142,dodge colt,26,4,98,79,2255,17.7,76,usa
143,dodge colt,27.9,4,156,105,2800,14.4,80,usa
144,dodge colt (sw),28,4,98,80,2164,15,72,usa
145,dodge colt hardtop,25,4,97.5,80,2126,17,72,usa
146,dodge colt hatchback custom,35.7,4,98,80,1915,14.4,79,usa
147,dodge colt m/m,33.5,4,98,83,2075,15.9,77,usa
148,dodge coronet brougham,16,8,318,150,4190,13,76,usa
149,dodge coronet custom,15,8,318,150,3777,12.5,73,usa
150,dodge coronet custom (sw),14,8,318,150,4457,13.5,74,usa
151,dodge d100,13,8,318,150,3755,14,76,usa
152,dodge d200,11,8,318,210,4382,13.5,70,usa
153,dodge dart custom,15,8,318,150,3399,11,73,usa
154,dodge diplomat,19.4,8,318,140,3735,13.2,78,usa
155,dodge magnum xe,17.5,8,318,140,4080,13.7,78,usa
156,dodge monaco (sw),12,8,383,180,4955,11.5,71,usa
157,dodge monaco brougham,15.5,8,318,145,4140,13.7,77,usa
158,dodge omni,30.9,4,105,75,2230,14.5,78,usa
159,dodge rampage,32,4,135,84,2295,11.6,82,usa
160,dodge st. regis,18.2,8,318,135,3830,15.2,79,usa
161,fiat 124 sport coupe,26,4,98,90,2265,15.5,73,europe
162,fiat 124 tc,26,4,116,75,2246,14,74,europe
163,fiat 124b,30,4,88,76,2065,14.5,71,europe
164,fiat 128,29,4,68,49,1867,19.5,73,europe
165,fiat 128,24,4,90,75,2108,15.5,74,europe
166,fiat 131,28,4,107,86,2464,15.5,76,europe
167,fiat strada custom,37.3,4,91,69,2130,14.7,79,europe
168,fiat x1.9,31,4,79,67,2000,16,74,europe
169,ford country,12,8,400,167,4906,12.5,73,usa
170,ford country squire (sw),13,8,400,170,4746,12,71,usa
171,ford country squire (sw),15.5,8,351,142,4054,14.3,79,usa
172,ford escort 2h,29.9,4,98,65,2380,20.7,81,usa
173,ford escort 4w,34.4,4,98,65,2045,16.2,81,usa
174,ford f108,13,8,302,130,3870,15,76,usa
175,ford f250,10,8,360,215,4615,14,70,usa
176,ford fairmont,26.4,4,140,88,2870,18.1,80,usa
177,ford fairmont (auto),20.2,6,200,85,2965,15.8,78,usa
178,ford fairmont (man),25.1,4,140,88,2720,15.4,78,usa
179,ford fairmont 4,22.3,4,140,88,2890,17.3,79,usa
180,ford fairmont futura,24,4,140,92,2865,16.4,82,usa
181,ford fiesta,36.1,4,98,66,1800,14.4,78,usa
182,ford futura,18.1,8,302,139,3205,11.2,78,usa
183,ford galaxie 500,15,8,429,198,4341,10,70,usa
184,ford galaxie 500,14,8,351,153,4154,13.5,71,usa
185,ford galaxie 500,14,8,351,153,4129,13,72,usa
186,ford gran torino,14,8,302,137,4042,14.5,73,usa
187,ford gran torino,16,8,302,140,4141,14,74,usa
188,ford gran torino,14.5,8,351,152,4215,12.8,76,usa
189,ford gran torino (sw),13,8,302,140,4294,16,72,usa
190,ford gran torino (sw),14,8,302,140,4638,16,74,usa
191,ford granada,18.5,6,250,98,3525,19,77,usa
192,ford granada ghia,18,6,250,78,3574,21,76,usa
193,ford granada gl,20.2,6,200,88,3060,17.1,81,usa
194,ford granada l,22,6,232,112,2835,14.7,82,usa
195,ford ltd,13,8,351,158,4363,13,73,usa
196,ford ltd,14,8,351,148,4657,13.5,75,usa
197,ford ltd landau,17.6,8,302,129,3725,13.4,79,usa
198,ford maverick,21,6,200,85,2587,16,70,usa
199,ford maverick,18,6,250,88,3021,16.5,73,usa
201,ford maverick,15,6,250,72,3158,19.5,75,usa
202,ford maverick,24,6,200,81,3012,17.6,76,usa
203,ford mustang,18,6,250,88,3139,14.5,71,usa
205,ford mustang gl,27,4,140,86,2790,15.6,82,usa
206,ford mustang ii,13,8,302,129,3169,12,75,usa
207,ford mustang ii 2+2,25.5,4,140,89,2755,15.8,77,usa
209,ford pinto,19,4,122,85,2310,18.5,73,usa
210,ford pinto,26,4,122,80,2451,16.5,74,usa
211,ford pinto,23,4,140,83,2639,17,75,usa
212,ford pinto,18,6,171,97,2984,14.5,75,usa
213,ford pinto,26.5,4,140,72,2565,13.6,76,usa
214,ford pinto (sw),22,4,122,86,2395,16,72,usa
215,ford pinto runabout,21,4,122,86,2226,16.5,72,usa
216,ford ranger,28,4,120,79,2625,18.6,82,usa
217,ford thunderbird,16,8,351,149,4335,14.5,77,usa
218,ford torino,17,8,302,140,3449,10.5,70,usa
219,ford torino 500,19,6,250,88,3302,15.5,71,usa
220,hi 1200d,9,8,304,193,4732,18.5,70,usa
221,honda accord,32.4,4,107,72,2290,17,80,japan
222,honda accord,36,4,107,75,2205,14.5,82,japan
223,honda accord cvcc,31.5,4,98,68,2045,18.5,77,japan
224,honda accord lx,29.5,4,98,68,2135,16.6,78,japan
225,honda civic,24,4,120,97,2489,15,74,japan
226,honda civic,33,4,91,53,1795,17.4,76,japan
227,honda civic,38,4,91,67,1965,15,82,japan
228,honda civic (auto),32,4,91,67,1965,15.7,82,japan
229,honda civic 1300,35.1,4,81,60,1760,16.1,81,japan
230,honda civic 1500 gl,44.6,4,91,67,1850,13.8,80,japan
231,honda civic cvcc,33,4,91,53,1795,17.5,75,japan
232,honda civic cvcc,36.1,4,91,60,1800,16.4,78,japan
233,honda prelude,33.7,4,107,75,2210,14.4,81,japan
234,maxda glc deluxe,34.1,4,86,65,1975,15.2,79,japan
235,maxda rx3,18,3,70,90,2124,13.5,73,japan
236,mazda 626,31.3,4,120,75,2542,17.5,80,japan
237,mazda 626,31.6,4,120,74,2635,18.3,81,japan
238,mazda glc,46.6,4,86,65,2110,17.9,80,japan
239,mazda glc 4,34.1,4,91,68,1985,16,81,japan
240,mazda glc custom,31,4,91,68,1970,17.6,82,japan
241,mazda glc custom l,37,4,91,68,2025,18.2,82,japan
242,mazda glc deluxe,32.8,4,78,52,1985,19.4,78,japan
243,mazda rx-4,21.5,3,80,110,2720,13.5,77,japan
244,mazda rx-7 gs,23.7,3,70,100,2420,12.5,80,japan
245,mazda rx2 coupe,19,3,70,97,2330,13.5,72,japan
246,mercedes benz 300d,25.4,5,183,77,3530,20.1,79,europe
247,mercedes-benz 240d,30,4,146,67,3250,21.8,80,europe
248,mercedes-benz 280s,16.5,6,168,120,3820,16.7,76,europe
249,mercury capri 2000,23,4,122,86,2220,14,71,usa
250,mercury capri v6,21,6,155,107,2472,14,73,usa
251,mercury cougar brougham,15,8,302,130,4295,14.9,77,usa
252,mercury grand marquis,16.5,8,351,138,3955,13.2,79,usa
253,mercury lynx l,36,4,98,70,2125,17.3,82,usa
254,mercury marquis,11,8,429,208,4633,11,72,usa
255,mercury marquis brougham,12,8,429,198,4952,11.5,73,usa
256,mercury monarch,15,6,250,72,3432,21,75,usa
257,mercury monarch ghia,20.2,8,302,139,3570,12.8,78,usa
258,mercury zephyr,20.8,6,200,85,3070,16.7,78,usa
259,mercury zephyr 6,19.8,6,200,85,2990,18.2,79,usa
260,nissan stanza xe,36,4,120,88,2160,14.5,82,japan
261,oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,82,usa
262,oldsmobile cutlass ls,26.6,8,350,105,3725,19,81,usa
263,oldsmobile cutlass salon brougham,19.9,8,260,110,3365,15.5,78,usa
264,oldsmobile cutlass salon brougham,23.9,8,260,90,3420,22.2,79,usa
265,oldsmobile cutlass supreme,17,8,260,110,4060,19,77,usa
266,oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,usa
267,oldsmobile omega,11,8,350,180,3664,11,73,usa
268,oldsmobile omega brougham,26.8,6,173,115,2700,12.9,79,usa
269,oldsmobile starfire sx,23.8,4,151,85,2855,17.6,78,usa
270,oldsmobile vista cruiser,12,8,350,180,4499,12.5,73,usa
271,opel 1900,28,4,116,90,2123,14,71,europe
272,opel 1900,25,4,116,81,2220,16.9,76,europe
273,opel manta,24,4,116,75,2158,15.5,73,europe
274,opel manta,26,4,97,78,2300,14.5,74,europe
275,peugeot 304,30,4,79,70,2074,19.5,71,europe
276,peugeot 504,25,4,110,87,2672,17.5,70,europe
277,peugeot 504,23,4,120,88,2957,17,75,europe
278,peugeot 504,19,4,120,88,3270,21.9,76,europe
279,peugeot 504,27.2,4,141,71,3190,24.8,79,europe
280,peugeot 504 (sw),21,4,120,87,2979,19.5,72,europe
281,peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,81,europe
282,peugeot 604sl,16.2,6,163,133,3410,15.8,78,europe
283,plymouth 'cuda 340,14,8,340,160,3609,8,70,usa
284,plymouth arrow gs,25.5,4,122,96,2300,15.5,77,usa
285,plymouth champ,39,4,86,64,1875,16.4,81,usa
286,plymouth cricket,26,4,91,70,1955,20.5,71,usa
287,plymouth custom suburb,13,8,360,170,4654,13,73,usa
288,plymouth duster,22,6,198,95,2833,15.5,70,usa
289,plymouth duster,23,6,198,95,2904,16,73,usa
290,plymouth duster,20,6,198,95,3102,16.5,74,usa
291,plymouth fury,18,6,225,95,3785,19,75,usa
292,plymouth fury gran sedan,14,8,318,150,4237,14.5,73,usa
293,plymouth fury iii,14,8,440,215,4312,8.5,70,usa
294,plymouth fury iii,14,8,318,150,4096,13,71,usa
295,plymouth fury iii,15,8,318,150,4135,13.5,72,usa
296,plymouth grand fury,16,8,318,150,4498,14.5,75,usa
297,plymouth horizon,34.2,4,105,70,2200,13.2,79,usa
298,plymouth horizon 4,34.7,4,105,63,2215,14.9,81,usa
299,plymouth horizon miser,38,4,105,63,2125,14.7,82,usa
300,plymouth horizon tc3,34.5,4,105,70,2150,14.9,79,usa
301,plymouth reliant,27.2,4,135,84,2490,15.7,81,usa
302,plymouth reliant,30,4,135,84,2385,12.9,81,usa
303,plymouth sapporo,23.2,4,156,105,2745,16.7,78,usa
304,plymouth satellite,18,8,318,150,3436,11,70,usa
305,plymouth satellite custom,16,6,225,105,3439,15.5,71,usa
306,plymouth satellite custom (sw),14,8,318,150,4077,14,72,usa
307,plymouth satellite sebring,18,6,225,105,3613,16.5,74,usa
308,plymouth valiant,18,6,225,105,3121,16.5,73,usa
309,plymouth valiant,22,6,225,100,3233,15.4,76,usa
310,plymouth valiant custom,19,6,225,95,3264,16,75,usa
311,plymouth volare,20.5,6,225,100,3430,17.2,78,usa
312,plymouth volare custom,19,6,225,100,3630,17.7,77,usa
313,plymouth volare premier v8,13,8,318,150,3940,13.2,76,usa
314,pontiac astro,23,4,140,78,2592,18.5,75,usa
315,pontiac catalina,14,8,455,225,4425,10,70,usa
316,pontiac catalina,14,8,400,175,4385,12,72,usa
317,pontiac catalina,16,8,400,170,4668,11.5,75,usa
318,pontiac catalina brougham,14,8,400,175,4464,11.5,71,usa
319,pontiac firebird,19,6,250,100,3282,15,71,usa
320,pontiac grand prix,16,8,400,230,4278,9.5,73,usa
321,pontiac grand prix lj,16,8,400,180,4220,11.1,77,usa
322,pontiac j2000 se hatchback,31,4,112,85,2575,16.2,82,usa
323,pontiac lemans v6,21.5,6,231,115,3245,15.4,79,usa
324,pontiac phoenix,33.5,4,151,90,2556,13.2,79,usa
325,pontiac phoenix,27,4,151,90,2735,18,82,usa
326,pontiac phoenix lj,19.2,6,231,105,3535,19.2,78,usa
327,pontiac safari (sw),13,8,400,175,5140,12,71,usa
328,pontiac sunbird coupe,24.5,4,151,88,2740,16,77,usa
329,pontiac ventura sj,18.5,6,250,110,3645,16.2,76,usa
330,renault 12 (sw),26,4,96,69,2189,18,72,europe
331,renault 12tl,27,4,101,83,2202,15.3,76,europe
333,renault 5 gtl,36,4,79,58,1825,18.6,77,europe
335,saab 99e,25,4,104,95,2375,17.5,70,europe
336,saab 99gle,21.6,4,121,115,2795,15.7,78,europe
337,saab 99le,24,4,121,110,2660,14,73,europe
338,saab 99le,25,4,121,115,2671,13.5,75,europe
339,subaru,26,4,108,93,2391,15.5,74,japan
340,subaru,32.3,4,97,67,2065,17.8,81,japan
341,subaru dl,30,4,97,67,1985,16.4,77,japan
342,subaru dl,33.8,4,97,67,2145,18,80,japan
343,toyota carina,20,4,97,88,2279,19,73,japan
344,toyota celica gt,32,4,144,96,2665,13.9,82,japan
345,toyota celica gt liftback,21.1,4,134,95,2515,14.8,78,japan
346,toyota corolla,29,4,97,75,2171,16,75,japan
347,toyota corolla,28,4,97,75,2155,16.4,76,japan
348,toyota corolla,32.2,4,108,75,2265,15.2,80,japan
349,toyota corolla,32.4,4,108,75,2350,16.8,81,japan
350,toyota corolla,34,4,108,70,2245,16.9,82,japan
351,toyota corolla 1200,31,4,71,65,1773,19,71,japan
352,toyota corolla 1200,32,4,71,65,1836,21,74,japan
353,toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,japan
354,toyota corolla liftback,26,4,97,75,2265,18.2,77,japan
355,toyota corolla tercel,38.1,4,89,60,1968,18.8,80,japan
356,toyota corona,25,4,113,95,2228,14,71,japan
357,toyota corona,31,4,76,52,1649,16.5,74,japan
358,toyota corona,24,4,134,96,2702,13.5,75,japan
359,toyota corona,27.5,4,134,95,2560,14.2,78,japan
360,toyota corona hardtop,24,4,113,95,2278,15.5,72,japan
361,toyota corona liftback,29.8,4,134,90,2711,15.5,80,japan
362,toyota corona mark ii,24,4,113,95,2372,15,70,japan
363,toyota cressida,25.4,6,168,116,2900,12.6,81,japan
364,toyota mark ii,20,6,156,122,2807,13.5,73,japan
365,toyota mark ii,19,6,156,108,2930,15.5,76,japan
366,toyota starlet,39.1,4,79,58,1755,16.9,81,japan
367,toyota tercel,37.7,4,89,62,2050,17.3,81,japan
368,toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,japan
369,triumph tr7 coupe,35,4,122,88,2500,15.1,80,europe
370,vokswagen rabbit,29.8,4,89,62,1845,15.3,80,europe
371,volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,70,europe
372,volkswagen 411 (sw),22,4,121,76,2511,18,72,europe
373,volkswagen dasher,26,4,79,67,1963,15.5,74,europe
374,volkswagen dasher,25,4,90,71,2223,16.5,75,europe
375,volkswagen dasher,30.5,4,97,78,2190,14.1,77,europe
376,volkswagen jetta,33,4,105,74,2190,14.2,81,europe
377,volkswagen model 111,27,4,97,60,1834,19,71,europe
378,volkswagen rabbit,29,4,90,70,1937,14,75,europe
379,volkswagen rabbit,29.5,4,97,71,1825,12.2,76,europe
380,volkswagen rabbit custom,29,4,97,78,1940,14.5,77,europe
381,volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,78,europe
382,volkswagen rabbit l,36,4,105,74,1980,15.3,82,europe
383,volkswagen scirocco,31.5,4,89,71,1990,14.9,78,europe
384,volkswagen super beetle,26,4,97,46,1950,21,73,europe
385,volkswagen type 3,23,4,97,54,2254,23.5,72,europe
386,volvo 144ea,19,4,121,112,2868,15.5,73,europe
387,volvo 145e (sw),18,4,121,112,2933,14.5,72,europe
388,volvo 244dl,22,4,121,98,2945,14.5,75,europe
389,volvo 245,20,4,130,102,3150,15.7,76,europe
390,volvo 264gl,17,6,163,125,3140,13.6,78,europe
391,volvo diesel,30.7,6,145,76,3160,19.6,81,europe
392,vw dasher (diesel),43.4,4,90,48,2335,23.7,80,europe
393,vw pickup,44,4,97,52,2130,24.6,82,europe
394,vw rabbit,29,4,90,70,1937,14.2,76,europe
395,vw rabbit,41.5,4,98,76,2144,14.7,80,europe
396,vw rabbit c (diesel),44.3,4,90,48,2085,21.7,80,europe
397,vw rabbit custom,31.9,4,89,71,1925,14,79,europe